Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Text,Voice,VoiceVersion
//Bg,my_room,,,,,,,,
//,mashino,,charaPos,,,,,,
//CharacterOff,,,,,,,,,
,???,,,,,,ちょっとー、お兄ちゃん？？,,
,主人公,,,,,,ん？千尋か？どうしたー？,,
,koya,,,,,,,,
,koya,,,,,,英語の辞書、もう借りても大丈夫？,,
,主人公,,,,,,あぁ、辞書か。,,
,,,,,,,ごそごそ,,
,主人公,,,,,,はいよ、ありがとなー,,
,koya,,,,,,ううん、借りてるのは私の方だしね。,,
,koya,,,,,,いつもありがと！,,
,koya,,,,,,それでさ・・・また分からないところがあるんだけど、教えてもらえる？,,
,主人公,,,,,,もちろんOKだぞ！,,
,koya,,,,,,ほんとぉ？じゃあ詰まったらお願いするね！,,
,主人公,,,,,,任せとけ！！,,
,koya,,,,,,うん、じゃあこれから宿題やってくるー！,,
CharacterOff,,,,,,,,,
StopScenario,,,,,,,,,
