Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Text,Voice,VoiceVersion
Bg,class_a,,,,,,,,
CharacterOff,,,,,,,,,
,mashino,,charaPos,,,,,,
,,,,,,,両親が教師で、風紀関係は特に厳しくてきっちり育てられていた,,
,kanashiro,,charaPos,,,,,,
,,,,,,,金城李莉子とは小さい頃からの親友でアイドル好きになったのも李莉子の影響。,,
,mashino,,charaPos21,,,,,,
,kanashiro,,charaPos22,,,,,,
,,,,,,,可愛いもの、女子が大好きな李莉子は佳代を密かにアイドルになったらいいなと思い,,
,,,,,,,李莉子がアイドルのオーディションに勝手に応募したのがきっかけ,,
,,,,,,,両親とは私生活、学校生活をきちんとするという約束で,,
,,,,,,,子供の頃から密かに憧れていたアイドルになる,,
,,,,,,,,,
,,,,,,,性格は努力家。,,
,,,,,,,努力したものは必ず成果として出るものと思っている。,,
,,,,,,,努力を忘れず、勉強もアイドルとしての仕事もすべてがんばっている。,,
,,,,,,,視力はそこまでは悪くはない。,,
,,,,,,,頭はよくていつも学年で上位。,,
,,,,,,,恋愛に関してはツンデレ？一途。,,
,,,,,,,アイドルというのもあるのでどう接していいのかわからない部分と、女子としての自分の気持ちが混ざって,,
,,,,,,,どうしていいのかわからないとたまに話の途中で逃げたりする。,,
,,,,,,,ほかのアイドルの話や女の子の話をすると分かりやすく妬く。,,
,,,,,,,,,
,,,,,,,委員会は風紀委員。部長。,,
,,,,,,,教師にも頼られ、生徒会長の次くらいに好かれている。,,
,,,,,,,部活はアイドル活動もあるため帰宅部。,,
,,,,,,,しかし、ダンス、柔軟などはかなりの特技。柔軟しながら電話かけたり、テレビを見たりするのが毎日の日課。,,
,,,,,,,歌唱力は普通。どっちかというとダンスとトーク術でアイドルセンター。,,
,,,,,,,,,
,,,,,,,主人公とは同級生。,,
,,,,,,,同じクラスではないものの,,
,,,,,,,風紀委員の真篠　佳代は学校では結構名が知られていた。,,
,,,,,,,たまたま遅刻して裏門から入ってくるときに真篠　佳代に見られてしまう。,,
,,,,,,,そこからちょくちょく真篠　佳代に目をつけられる。,,
,,,,,,,,,
,,,,,,,ある時友達が買ったCDについていたアイドルのイベント券。,,
,,,,,,,友達がいけなくなってしまって主人公が一人で行くことなる。,,
,,,,,,,真篠　佳代がいるとは知らずに、イベントに参加すると、握手会の場所で会ってしまう。,,
,,,,,,,,,
,,,,,,,次の日アイドルだということを絶対に他の人には言わないでほしいとのことで呼び出される。,,
,,,,,,,特に興味がなかった主人公であったが、,,
,,,,,,,アイドルの時と学校の時の態度の違いにだんだんと惹かれていく・・・？,,
StopScenario,,,,,,,,,
